Ticker,Name,Sector,Asset Class,Market Value
BFA,BROWN FORMAN CORP CLASS A,Consumer Staples,Equity,"$9,379,253.67 "
RNR,RENAISSANCERE HOLDING LTD,Financials,Equity,"$9,345,781.02 "
YUM,YUM BRANDS INC,Consumer Discretionary,Equity,"$9,224,343.20 "
RETA,REATA PHARMACEUTICALS INC CLASS A,Health Care,Equity,"$9,162,961.64 "
LW,LAMB WESTON HOLDINGS INC,Consumer Staples,Equity,"$8,847,383.88 "
BERY,BERRY GLOBAL GROUP INC,Materials,Equity,"$8,431,759.02 "
RPRX,ROYALTY PHARMA PLC CLASS A,Health Care,Equity,"$8,392,183.80 "
EXEL,EXELIXIS INC,Health Care,Equity,"$8,379,405.63 "
BRKR,BRUKER CORP,Health Care,Equity,"$8,306,302.63 "
GWRE,GUIDEWIRE SOFTWARE INC,Information Technology,Equity,"$7,822,664.64 "
WWE,WORLD WRESTLING ENTERTAINMENT INC,Communication,Equity,"$7,718,367.60 "
EXPE,EXPEDIA GROUP INC,Consumer Discretionary,Equity,"$7,681,318.40 "
CBOE,CBOE GLOBAL MARKETS INC,Financials,Equity,"$7,569,259.20 "
HRB,H&R BLOCK INC,Consumer Discretionary,Equity,"$7,525,982.36 "
CHRW,CH ROBINSON WORLDWIDE INC,Industrials,Equity,"$7,473,272.31 "
NEU,NEWMARKET CORP,Materials,Equity,"$7,406,202.55 "
ENR,ENERGIZER HOLDINGS INC,Consumer Staples,Equity,"$7,279,761.84 "
IAA,IAA INC,Industrials,Equity,"$7,264,309.14 "
COO,COOPER INC,Health Care,Equity,"$7,165,760.36 "
VAR,VARIAN MEDICAL SYSTEMS INC,Health Care,Equity,"$7,010,025.55 "
SFM,SPROUTS FARMERS MARKET INC,Consumer Staples,Equity,"$6,988,187.10 "
TDC,TERADATA CORP,Information Technology,Equity,"$6,974,238.60 "
PWR,QUANTA SERVICES INC,Industrials,Equity,"$6,962,101.38 "
Z,ZILLOW GROUP INC CLASS C,Communication,Equity,"$6,936,512.00 "
PS,PLURALSIGHT INC CLASS A,Information Technology,Equity,"$6,771,924.48 "
WU,WESTERN UNION,Information Technology,Equity,"$6,280,215.30 "
UI,UBIQUITI INC,Information Technology,Equity,"$6,209,380.45 "
VFC,VF CORP,Consumer Discretionary,Equity,"$5,658,241.68 "
LDOS,LEIDOS HOLDINGS INC,Information Technology,Equity,"$5,418,410.40 "
CCK,CROWN HOLDINGS INC,Materials,Equity,"$5,324,828.40 "
NVR,NVR INC,Consumer Discretionary,Equity,"$5,222,220.80 "
AWI,ARMSTRONG WORLD INDUSTRIES INC,Industrials,Equity,"$5,179,924.48 "
MSFUT,CASH COLLATERAL MSFUT USD,Cash and/or Derivatives,Cash Collateral and Margins,"$5,096,840.00 "
SPCE,VIRGIN GALACTIC HOLDINGS INC SHS C,Industrials,Equity,"$5,077,531.83 "
DVA,DAVITA INC,Health Care,Equity,"$5,072,971.40 "
GO,GROCERY OUTLET HOLDING CORP,Consumer Staples,Equity,"$5,029,966.00 "
WSM,WILLIAMS SONOMA INC,Consumer Discretionary,Equity,"$5,003,501.04 "
FEYE,FIREEYE INC,Information Technology,Equity,"$5,003,558.80 "
YUMC,YUM CHINA HOLDINGS INC,Consumer Discretionary,Equity,"$4,980,303.24 "
MSA,MSA SAFETY INC,Industrials,Equity,"$4,846,659.77 "
LNC,LINCOLN NATIONAL CORP,Financials,Equity,"$4,831,068.06 "
JBL,JABIL INC,Information Technology,Equity,"$4,788,452.70 "
VIRT,VIRTU FINANCIAL INC CLASS A,Financials,Equity,"$4,776,989.13 "
BWA,BORGWARNER INC,Consumer Discretionary,Equity,"$4,750,401.60 "
WAT,WATER CORP,Health Care,Equity,"$4,568,857.72 "
SWCH,SWITCH INC CLASS A,Information Technology,Equity,"$4,403,415.41 "
SLM,SLM CORP,Financials,Equity,"$4,390,532.79 "
DELL,DELL TECHNOLOGIES INC CLASS C,Information Technology,Equity,"$4,353,865.74 "
DNB,DUN BRADST HLDG INC,Industrials,Equity,"$4,251,052.50 "
BLUE,BLUEBIRD BIO INC,Health Care,Equity,"$4,221,291.39 "
KMX,CARMAX INC,Consumer Discretionary,Equity,"$4,117,983.70 "
CACI,CACI INTERNATIONAL INC CLASS A,Information Technology,Equity,"$4,103,473.14 "
GRA,WR GRACE,Materials,Equity,"$3,887,505.48 "
TWOU,2U INC,Information Technology,Equity,"$3,788,947.00 "
ICUI,ICU MEDICAL INC,Health Care,Equity,"$3,767,302.36 "
MTN,VAIL RESORTS INC,Consumer Discretionary,Equity,"$3,745,874.88 "
ZG,ZILLOW GROUP INC CLASS A,Communication,Equity,"$3,658,417.28 "
NCNO,NCINO INC,Information Technology,Equity,"$3,648,015.80 "
LH,LABORATORY CORPORATION OF AMERICA,Health Care,Equity,"$3,634,181.70 "
DCT,DUCK CREEK TECH INC,Information Technology,Equity,"$3,461,402.00 "
VRM,VROOM INC,Consumer Discretionary,Equity,"$3,441,398.06 "
RKT,ROCKET COMPANIES INC CLASS A,Financials,Equity,"$3,329,688.06 "
HRC,HILL ROM HOLDINGS INC,Health Care,Equity,"$3,319,223.60 "
Y,ALLEGHANY CORP,Financials,Equity,"$3,313,654.41 "
WEX,WEX INC,Information Technology,Equity,"$3,307,769.56 "
LITE,LUMENTUM HOLDINGS INC,Information Technology,Equity,"$3,297,997.20 "
COLD,AMERICOLD REALTY TRUST,Real Estate,Equity,"$3,252,749.55 "
DCI,DONALDSON INC,Industrials,Equity,"$3,171,637.04 "
DLB,DOLBY LABORATORIES INC CLASS A,Information Technology,Equity,"$3,164,301.14 "
LSXMK,LIBERTY MEDIA LIBERTY SIRIUSXM COR,Communication,Equity,"$3,091,864.11 "
AMWL,AMERICAN WELL CORP CLASS A,Health Care,Equity,"$2,977,338.86 "
GPK,GRAPHIC PACKAGING HOLDING,Materials,Equity,"$2,980,033.98 "
GRUB,GRUBHUB INC,Consumer Discretionary,Equity,"$2,948,147.65 "
CDK,CDK GLOBAL INC,Information Technology,Equity,"$2,825,045.98 "
BLI,BERKELEY LIGHTS INC,Health Care,Equity,"$2,766,434.81 "
STE,STERIS,Health Care,Equity,"$2,757,427.92 "
OSH,OAK STREET HEALTH,Health Care,Equity,"$2,639,359.80 "
FROG,JFROG LTD,Information Technology,Equity,"$2,637,414.91 "
PII,POLARIS INDUSTRIES INC,Consumer Discretionary,Equity,"$2,619,818.88 "
FTDR,FRONTDOOR INC,Consumer Discretionary,Equity,"$2,575,622.37 "
HLF,HERBALIFE NUTRITION LTD,Consumer Staples,Equity,"$2,558,902.75 "
SAIC,SCIENCE APPLICATIONS INTERNATIONAL,Information Technology,Equity,"$2,517,234.72 "
SYNH,SYNEOS HEALTH INC CLASS A,Health Care,Equity,"$2,433,876.12 "
IPGP,IPG PHOTONICS CORP,Information Technology,Equity,"$2,424,988.44 "
LPLA,LPL FINANCIAL HOLDINGS INC,Financials,Equity,"$2,291,693.58 "
HII,HUNTINGTON INGALLS INDUSTRIES INC,Industrials,Equity,"$2,282,556.72 "
JAMF,JAMF HOLDING CORP,Information Technology,Equity,"$2,166,537.12 "
BRO,BROWN & BROWN INC,Financials,Equity,"$1,929,160.31 "
LESL,LESLIES INC,Consumer Discretionary,Equity,"$1,921,049.25 "
XPO,XPO LOGISTICS INC,Industrials,Equity,"$1,919,000.80 "
SAGE,SAGE THERAPEUTICS INC,Health Care,Equity,"$1,879,775.79 "
BIGC,BIGCOMMERCE HOLDINGS SERIES,Information Technology,Equity,"$1,870,036.65 "
REYN,REYNOLDS CONSUMER PRODUCTS INC,Consumer Staples,Equity,"$1,865,093.48 "
CG,CARLYLE GROUP INC,Financials,Equity,"$1,848,011.76 "
AZEK,AZEK COMPANY INC CLASS A,Industrials,Equity,"$1,735,786.80 "
PPC,PILGRIMS PRIDE CORP,Consumer Staples,Equity,"$1,724,777.94 "
CLGX,CORELOGIC INC,Industrials,Equity,"$1,667,947.04 "
ETRN,EQUITRANS MIDSTREAM CORP,Energy,Equity,"$1,648,087.44 "
AXS,AXIS CAPITAL HOLDINGS LTD,Financials,Equity,"$1,583,354.58 "
LSXMA,LIBERTY MEDIA LIBERTY SIRIUSXM COR,Communication,Equity,"$1,477,141.19 "
CACC,CREDIT ACCEPTANCE CORP,Financials,Equity,"$1,426,789.08 "
ALGM,ALLEGRO MICROSYSTEMS INC,Information Technology,Equity,"$1,319,616.68 "
BPYU,BROOKFIELD PROPERTY REIT INC CLASS,Real Estate,Equity,"$1,320,531.66 "
MSP,DATTO HOLDING CORP,Information Technology,Equity,"$1,313,766.00 "
MCFE,MCAFEE CORP CLASS A,Information Technology,Equity,"$1,290,520.87 "
ACI,ALBERTSONS COMPANY INC CLASS A,Consumer Staples,Equity,"$1,056,610.74 "
ARRY,ARRAY TECHNOLOGIES INC,Industrials,Equity,"$672,336.90 "
GOCO,GOHEALTH INC CLASS A,Financials,Equity,"$632,403.36 "
COMM,COMMSCOPE HOLDING INC,Information Technology,Equity,$884.40 
AGIO,AGIOS PHARMACEUTICALS INC,Health Care,Equity,"$1,559.88 "
ESH1,S&P500 EMINI MAR 21,Cash and/or Derivatives,Futures,$0.00 
